case_name,area,num_rooms,num_paths,avg_path_length,mode_path_length,len_shortest_path,degree_dom_node
70407,138.37493500000002,14.0,2.0,5.0,5.0,5.0,1.0
52674,63.680148,6.0,6.0,5.0,5.0,5.0,3.0
33401,40.395767,6.0,3.0,3.6666666666666665,4.0,3.0,1.0
36103,98.428598,9.0,1.0,4.0,4.0,4.0,3.0
8836,58.97138499999999,7.0,1.0,5.0,5.0,5.0,1.0
109327,74.413581,9.0,8.0,5.0,5.0,5.0,2.0
42251,108.42708499999999,11.0,10.0,5.1,5.0,4.0,1.0
14463,77.565687,7.0,11.0,5.181818181818182,6.0,3.0,2.0
28835,82.358464,8.0,2.0,5.0,5.0,5.0,2.0
139607,88.45370799999999,7.0,3.0,5.333333333333333,5.0,5.0,1.0
18914,80.69031,9.0,4.0,4.0,4.0,3.0,2.0
53655,110.849702,9.0,18.0,5.277777777777778,5.0,3.0,2.0
21104,90.35074399999998,6.0,4.0,5.0,5.0,5.0,2.0
42908,109.316164,13.0,15.0,5.533333333333333,6.0,3.0,1.0
95464,52.492637,9.0,4.0,5.0,5.0,4.0,2.0
30186,82.186245,9.0,10.0,4.5,5.0,3.0,2.0
139325,109.38451599999999,8.0,6.0,5.333333333333333,5.0,5.0,2.0
41778,98.436457,12.0,11.0,5.7272727272727275,5.0,5.0,1.0
136685,82.57203100000001,10.0,10.0,5.0,5.0,3.0,2.0
141626,143.232536,11.0,5.0,4.4,5.0,3.0,2.0
143851,93.23299399999999,11.0,10.0,5.2,5.0,3.0,2.0
18125,94.42475400000001,10.0,4.0,4.5,5.0,3.0,2.0
13318,92.12506900000001,11.0,5.0,4.2,5.0,3.0,1.0
55910,94.753845,14.0,12.0,4.833333333333333,5.0,3.0,2.0
102757,87.060006,8.0,3.0,5.333333333333333,4.0,4.0,1.0
71314,93.251835,8.0,4.0,4.25,5.0,3.0,2.0
42521,101.63012800000001,10.0,6.0,3.8333333333333335,4.0,3.0,2.0
135624,141.665413,9.0,9.0,5.333333333333333,5.0,5.0,1.0
10690,86.81307699999999,11.0,11.0,5.181818181818182,6.0,3.0,1.0
97140,39.338252,5.0,3.0,5.0,5.0,5.0,1.0
108913,110.201091,11.0,1.0,5.0,5.0,5.0,1.0
30584,97.549105,10.0,4.0,4.0,4.0,3.0,2.0
143253,88.090469,9.0,4.0,5.0,4.0,4.0,2.0
108043,33.27279599999999,6.0,3.0,5.666666666666667,6.0,5.0,1.0
65661,107.33117600000001,8.0,2.0,4.5,5.0,4.0,1.0
12150,136.121127,10.0,9.0,5.0,5.0,3.0,3.0
37034,164.6962,13.0,16.0,5.5,6.0,4.0,1.0
39040,110.281897,13.0,8.0,5.25,6.0,4.0,1.0
27476,55.43136499999999,6.0,4.0,5.0,5.0,5.0,1.0
34129,77.694411,8.0,5.0,4.6,5.0,4.0,1.0
66713,58.906236,6.0,4.0,5.25,5.0,5.0,1.0
134549,124.03468400000001,11.0,7.0,5.0,5.0,4.0,1.0
109553,107.445448,8.0,9.0,5.333333333333333,5.0,4.0,3.0
106493,80.070471,9.0,4.0,4.75,5.0,4.0,1.0
99371,86.91364499999999,16.0,5.0,4.6,5.0,3.0,3.0
11259,100.948781,8.0,12.0,5.833333333333333,6.0,5.0,3.0
26896,111.02613399999998,11.0,9.0,4.888888888888889,5.0,4.0,3.0
20925,85.182038,7.0,8.0,4.75,5.0,4.0,2.0
12626,52.560733000000006,5.0,2.0,5.0,5.0,5.0,1.0
44892,77.887871,7.0,3.0,4.0,5.0,3.0,2.0
44608,64.94313199999999,7.0,6.0,5.833333333333333,6.0,5.0,1.0
38854,91.1555,7.0,4.0,4.25,5.0,3.0,1.0
12668,88.19625099999999,7.0,21.0,5.380952380952381,6.0,3.0,2.0
